config,n_folds,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,sensitivity_recall_mean,specificity_mean,f1_macro_mean,brier_score_mean,train_time_s_mean
Quantum-Augmented-XGB,5,0.90624,0.06011317991921573,0.8625,0.07288689868556626,0.8625,0.9,0.825,0.86168,0.12808000000000003,10.021656703948974
Stacked-LR-ensemble,5,0.63748,0.12158729209913348,0.5875,0.09354143466934853,0.5875,0.525,0.65,0.5765399999999999,0.24888000000000005,67.82319226264954
PCA-XGBoost (classical control),5,0.63124,0.08122769478447604,0.6125,0.10752906583803283,0.6125,0.625,0.6,0.6011599999999999,0.26736,0.10440540313720703
CWZZ-QSVM (flagship),5,0.60312,0.1796787956326511,0.575,0.15,0.575,0.625,0.525,0.57274,0.24372000000000002,0.472151517868042
CWZZ-permuted-QSVM (control),5,0.57812,0.14758102045994942,0.575,0.10752906583803283,0.575,0.55,0.6,0.57064,0.24372,10.376180410385132
AE-VQC,5,0.57812,0.07460207503816497,0.5375,0.075,0.5375,0.6,0.475,0.5234,0.24504,12.692595815658569
MI-CWZZ-QSVM,5,0.525,0.11760899625453827,0.5125,0.046770717334674264,0.5125,0.45,0.575,0.5047200000000001,0.28064,0.6384099006652832
SoftVote-ensemble,5,0.51248,0.23246243051297558,0.525,0.1920286436967152,0.525,0.475,0.575,0.51774,0.26784,0.6877529621124268
ZZ-QSVM,5,0.49376,0.07030714330706375,0.4625,0.08477912478906585,0.4625,0.55,0.375,0.4502,0.25142,0.47968230247497556
Angle-QSVM,5,0.49376,0.07030714330706375,0.4625,0.08477912478906585,0.4625,0.55,0.375,0.4502,0.25142,0.8446190834045411
Raw-XGBoost (classical control),5,0.47187999999999997,0.19297579537340948,0.475,0.15612494995995996,0.475,0.5,0.45,0.47203999999999996,0.341,0.10152606964111328
QCNN,5,0.45312,0.11395380467540343,0.4875,0.10752906583803283,0.4875,0.525,0.45,0.47848000000000007,0.25808,46.41627998352051
